"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"surv[7,76]",1.71855448838614e-05,0.0001504096899398,7.10142511477568e-21,4.6708455395753e-12,3.96948334169575e-09,3.36571956722561e-07,0.000123082451305231,1.16044363474313,18
"surv[7,77]",1.46212839313272e-05,0.000133282089426683,1.49081647765662e-21,2.14011853905911e-12,2.3164805200994e-09,2.29374668503454e-07,0.000100587469613504,1.16049516328474,18
"surv[7,78]",1.24497760584873e-05,0.000118088920677926,3.03542801342762e-22,9.49023188790432e-13,1.34549767744133e-09,1.573748509143e-07,8.24772477511702e-05,1.16054219000874,18
"surv[7,79]",1.06113203788757e-05,0.000104650774560829,5.98567945533805e-23,4.204381248411e-13,7.85399993633818e-10,1.07124921163242e-07,6.75431215198816e-05,1.16058499647848,18
"surv[7,80]",9.05130611903496e-06,9.27172784251333e-05,1.1432483257119e-23,1.87923562595128e-13,4.52348781362346e-10,7.3004438926923e-08,5.52152038171154e-05,1.16062311041804,18
"surv[7,81]",7.72697376403391e-06,8.21412553480158e-05,2.11529109335693e-24,8.16685072102757e-14,2.55895603713702e-10,4.95196962730881e-08,4.49154806928451e-05,1.16065608255695,18
"surv[7,82]",6.6016817352853e-06,7.27634946916482e-05,3.79084869308902e-25,3.48563811206194e-14,1.45799965706443e-10,3.36510856803514e-08,3.63899315734588e-05,1.16068645128062,18
"surv[7,83]",5.64573453614525e-06,6.44661731548435e-05,6.57440517172776e-26,1.47401955218253e-14,8.2477817623892e-11,2.27514201758168e-08,2.94286378284906e-05,1.16071199130779,18
"surv[7,84]",4.83093825206655e-06,5.70803534130573e-05,1.1036102468625e-26,6.22474410991546e-15,4.60879940982465e-11,1.50774844381017e-08,2.37573934760146e-05,1.16073513177779,18
"surv[7,85]",4.13680851524812e-06,5.05309724965746e-05,1.79373400197541e-27,2.63410706056185e-15,2.56147418491774e-11,9.80546777331887e-09,1.9158538278947e-05,1.16075434256491,18
"surv[7,86]",3.5451013609844e-06,4.47236484042514e-05,2.81905399248871e-28,1.10173973797063e-15,1.4189827342149e-11,6.40868798480145e-09,1.54167815620352e-05,1.16077078977604,18
"surv[7,87]",3.03996809765604e-06,3.95673580305464e-05,4.2859534712704e-29,4.45881292759236e-16,7.78839983565302e-12,4.20485639887946e-09,1.2382921714379e-05,1.16078294686988,18
"surv[7,88]",2.60915791441397e-06,3.50130246733181e-05,6.58135000000004e-30,1.77325e-16,4.247e-12,2.74975e-09,9.9282e-06,1,1
