"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"surv[5,30]",0.0347578533932136,0.0279917718293274,0.00386543949325114,0.0135724993094346,0.027969983911329,0.0481824904613163,0.107294995451081,1.11324049224519,23
"surv[5,31]",0.0322658816367265,0.0271853457003771,0.00318037414034534,0.01189,0.0251899920603402,0.0448674395374474,0.103484957446212,1.11404673274183,23
"surv[5,32]",0.0300038758483034,0.0263986887160323,0.00258912488246401,0.010462499104228,0.0227399802110732,0.0417498704101061,0.0997966437480108,1.11475783427096,23
"surv[5,33]",0.0279472306387226,0.0256352649767943,0.00209504997674492,0.00905549896509844,0.020504984759809,0.0390474593793124,0.0963273969070415,1.11537573290494,22
"surv[5,34]",0.026073726746507,0.0248961784007109,0.00168709988459031,0.00787474856014833,0.01856499932669,0.03652,0.0931279991619871,1.11591998944801,22
"surv[5,35]",0.0243642077844311,0.0241807515067991,0.00136612477748515,0.00687347598905643,0.0167949992557309,0.03408,0.0909917353802652,1.11639352863836,22
"surv[5,36]",0.0228015756487026,0.0234908391896724,0.00110802498900698,0.00599924736095034,0.0152,0.0319199811872838,0.088413943278145,1.11681814215854,22
"surv[5,37]",0.0213712493912176,0.022826016459437,0.000886174876488393,0.00525449992864165,0.0137649990918997,0.0298349886801918,0.0861014148735561,1.11717911991591,22
"surv[5,38]",0.0200590060878244,0.0221855623331538,0.000710609997256857,0.00464149927317748,0.0124649989971921,0.0278649878793286,0.0829744432697284,1.11750850661382,22
"surv[5,39]",0.0188542076946108,0.0215705573586808,0.000569632463893995,0.00407449549540025,0.0113699824098369,0.0260974996407243,0.0804872104564883,1.1177880521039,22
"surv[5,40]",0.0177453982035928,0.0209789252964875,0.000458309995747589,0.00358874976495576,0.0103349697628972,0.0244724965508428,0.0786953500800061,1.1180349134264,22
"surv[5,41]",0.0167241518363273,0.0204116439523063,0.000367737425622917,0.0031144969931023,0.00932749162422566,0.022992496328728,0.0769612922458336,1.11825186008952,22
"surv[5,42]",0.0157818954391218,0.0198677460754255,0.000294754800817102,0.00272224996556579,0.00852099976528576,0.02148,0.075307223468383,1.11843482233283,22
"surv[5,43]",0.0149110007774451,0.0193444809824179,0.000236042351458752,0.00237249857864759,0.00776930177042957,0.0200649981304527,0.0737036528113697,1.11859320739207,22
"surv[5,44]",0.0141051818183633,0.0188434388414024,0.000189239836007477,0.00208074959469192,0.00705462231448289,0.0187474874872037,0.0721600724313182,1.11873289598695,22
"surv[5,45]",0.0133583045678643,0.0183618732995469,0.0001511323644543,0.00181999259866474,0.00635399496380033,0.01754,0.0706375055750069,1.11885449515689,22
"surv[5,46]",0.0126655708932136,0.0179010482993211,0.000120702498990815,0.00158224852028111,0.00577149980507667,0.0165374994329923,0.0686487238603227,1.11895055607035,22
"surv[5,47]",0.0120217301926148,0.017458289533737,9.57466931119678e-05,0.00138249972888296,0.005256,0.0155649782888192,0.066729629240737,1.11903716103039,22
"surv[5,48]",0.0114228032375249,0.017033715849527,7.57804717294197e-05,0.00120499875656176,0.00479549246689013,0.0145724942060071,0.0648897183007777,1.11910324511309,22
"surv[5,49]",0.01086508349501,0.0166273028163836,5.98322483516446e-05,0.00104624276265526,0.00439398076918869,0.0136974993154019,0.0631189996909357,1.11916178016131,22
"surv[5,50]",0.0103449457051896,0.0162367745024382,4.73109995880542e-05,0.000919249963293272,0.00403599392962874,0.0128774408929937,0.0616049920703724,1.11920866007323,22
"surv[5,51]",0.00985923761117764,0.015861768486574,3.73814988274828e-05,0.000806874153925333,0.00368449833763024,0.0121098009378772,0.0599742392238918,1.11923838149272,22
"surv[5,52]",0.00940504391237525,0.0155012762331835,2.94832430334885e-05,0.000709720719726849,0.00335149369684623,0.0113995229551862,0.058413485855924,1.11926161589943,22
"surv[5,53]",0.0089802344998004,0.0151557611993938,2.32439866354093e-05,0.000626671119439403,0.00305749995911692,0.0107218571932883,0.0568932343364838,1.11927507058445,22
"surv[5,54]",0.00858214677864272,0.0148236442995498,1.83042308699742e-05,0.000553496729520806,0.0027894963703149,0.0100646963958349,0.0554424801479242,1.11928673760202,22
"surv[5,55]",0.00820873658163673,0.0145046776891372,1.4404225728811e-05,0.000488573986519645,0.00253249402763363,0.00944590822121777,0.0540319768155688,1.11928160975177,22
"surv[5,56]",0.00785826571085828,0.0141976030473413,1.14909983067516e-05,0.000431074980431379,0.00230348041016198,0.0088707433885101,0.0526714731417979,1.11927371737405,22
"surv[5,57]",0.00752901378948104,0.0139036469063509,9.11639965813957e-06,0.000378924997526113,0.0021089997629208,0.00836924864399758,0.0513609691098821,1.11926374445026,22
"surv[5,58]",0.00721896148994012,0.0136195350114793,7.15229520838053e-06,0.000332849898663844,0.00191999895833305,0.0078912319002999,0.0499444881563362,1.11924257815254,22
"surv[5,59]",0.00692719316335329,0.0133459625482427,5.61089086730178e-06,0.000291449884279071,0.00175599743735576,0.00745571974301169,0.0484892497737014,1.11921674311853,22
"surv[5,60]",0.00665212178244511,0.0130830226905771,4.41232270149338e-06,0.000255924908480015,0.00160299875233888,0.00705072760519984,0.0472834825149234,1.1191907813569,22
"surv[5,61]",0.00639270081557884,0.0128297030378492,3.4673599611304e-06,0.000223798930160139,0.0014704992349539,0.00666948372297104,0.0461176861186951,1.11915495742201,22
"surv[5,62]",0.00614782153259481,0.0125867382851043,2.7231547082216e-06,0.000197449981014259,0.001346,0.00631098833640495,0.0449826197396074,1.11911872718153,22
"surv[5,63]",0.00591611781631138,0.0123499839355809,2.1368074481678e-06,0.000173299913511408,0.00123399959481355,0.00597349239460779,0.043887527169036,1.11907934788314,22
"surv[5,64]",0.0056972419977984,0.0121241778449077,1.67636975061774e-06,0.000152124846101131,0.00112849988923349,0.00566974720342633,0.0428326627197994,1.11903500561266,22
"surv[5,65]",0.00548990769833134,0.0119052614145065,1.3285797853157e-06,0.000133549747663243,0.001035,0.00535674858160144,0.0418121413190395,1.1189881932302,22
"surv[5,66]",0.00529350995265968,0.0116943418804851,1.07930145124126e-06,0.000117399872376541,0.000948799994730185,0.0050742490942772,0.0408359766142294,1.11894048345041,22
"surv[5,67]",0.00510731208211876,0.0114905111691761,8.76765154297928e-07,0.000103599855398327,0.000870099948281805,0.00480824982448385,0.0398798018917892,1.11888810878471,22
"surv[5,68]",0.00493074778425848,0.0112944437487631,7.12198943026857e-07,9.07424354877629e-05,0.000798149873144136,0.00455774997942913,0.0389533622319061,1.11883424796392,22
"surv[5,69]",0.00476280231645319,0.011103420515122,5.78456669495858e-07,7.92599924325229e-05,0.000732299754199058,0.00432199965283134,0.0380569126493782,1.11877719722786,22
